productId,name,category,brand,description
P001,ThermoLux SteamBake X606,Horno,ThermoLux,"SteamBake X606 es un horno compacto y pensado para quienes cocinan a diario. Incorpora estructura interna modular, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
P002,CoolTech AquaSaver Z835,Lavavajillas,CoolTech,"AquaSaver Z835 es un lavavajillas potente y recomendado para usuarios exigentes. Incorpora control por voz integrado, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
P003,WashSphere CleanJet Q216,Lavavajillas,WashSphere,"CleanJet Q216 es un lavavajillas moderno y ideal para familias numerosas. Incorpora control por voz integrado, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
P004,Electrona CoolLine Z466,Frigorífico,Electrona,"CoolLine Z466 es un frigorífico silencioso y pensado para quienes cocinan a diario. Incorpora modos de funcionamiento inteligentes, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
P005,Electrona DryFast X932,Secadora,Electrona,"DryFast X932 es un secadora sostenible y pensado para quienes cocinan a diario. Incorpora pantalla táctil multifunción, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
P006,ThermoLux ChillBox Q597,Frigorífico,ThermoLux,"ChillBox Q597 es un frigorífico eficiente y ideal para familias numerosas. Incorpora algoritmos de optimización energética, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
P007,WashSphere HeatWave Q597,Horno,WashSphere,"HeatWave Q597 es un horno sostenible y diseñado para ahorrar espacio. Incorpora control por voz integrado, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
P008,VentoMax OvenCraft Z158,Horno,VentoMax,"OvenCraft Z158 es un horno compacto y ideal para familias numerosas. Incorpora estructura interna modular, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
P009,Electrona CoolMate Q659,Frigorífico,Electrona,"CoolMate Q659 es un frigorífico potente y diseñado para ahorrar espacio. Incorpora estructura interna modular, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
P010,VentoMax SteamBake Z704,Horno,VentoMax,"SteamBake Z704 es un horno versátil y pensado para quienes cocinan a diario. Incorpora estructura interna modular, lo que lo hace destacar frente a otros modelos de su clase. Su diseño responde a necesidades específicas con un enfoque práctico y funcional."
